Timestamp,Conductivity (uS/cm),Specific Conductance (uS/cm),Temperature (C)
10/1/2016 11:42,91,96.6,22
10/1/2016 11:42,91,96.6,22
10/1/2016 11:42,91,96.6,22
10/1/2016 11:42,91,96.6,22
10/1/2016 11:42,91,96.6,22
10/1/2016 11:42,91,96.6,22
10/1/2016 11:42,91,96.6,22
10/1/2016 11:42,90.9,96.5,22
10/1/2016 11:42,91,96.6,22
10/1/2016 11:42,91,96.6,22
10/1/2016 11:42,91,96.6,22
10/1/2016 11:42,91,96.6,22
10/1/2016 11:42,91,96.6,22
10/1/2016 11:42,91,96.6,22
10/1/2016 11:42,91,96.6,22
10/1/2016 11:42,91,96.6,22
10/1/2016 11:42,91,96.6,22
10/1/2016 11:42,91.1,96.6,22
10/1/2016 11:42,91.1,96.7,22
10/1/2016 11:42,91.1,96.7,22
10/1/2016 11:42,91.1,96.6,22
10/1/2016 11:42,91,96.6,22
10/1/2016 11:42,91,96.6,22
10/1/2016 11:42,91.1,96.6,22
10/1/2016 11:42,91.1,96.6,22
10/1/2016 11:42,91,96.6,22
10/1/2016 11:42,91.1,96.6,22
10/1/2016 11:42,91.1,96.6,22
10/1/2016 11:42,91.1,96.7,22
10/1/2016 11:42,91.1,96.7,22
10/1/2016 11:42,91.1,96.7,22
10/1/2016 11:42,91.1,96.7,22
10/1/2016 11:42,91.1,96.7,22
10/1/2016 11:42,91.1,96.7,22
10/1/2016 11:42,91.1,96.7,22
10/1/2016 11:42,91.1,96.7,22
10/1/2016 11:42,91.1,96.7,22
10/1/2016 11:42,91.1,96.7,22
10/1/2016 11:42,91.1,96.7,22
10/1/2016 11:42,91.1,96.7,22
10/1/2016 11:42,91.1,96.7,22
10/1/2016 11:42,91.1,96.7,22
10/1/2016 11:42,91.1,96.7,22
10/1/2016 11:42,91.1,96.7,22
10/1/2016 11:42,91.1,96.7,22
10/1/2016 11:42,91.1,96.6,22
10/1/2016 11:42,91,96.6,22
10/1/2016 11:42,91,96.6,22
10/1/2016 11:42,91,96.6,22
10/1/2016 11:42,91,96.6,22
10/1/2016 11:42,91.1,96.7,22
10/1/2016 11:42,91.1,96.7,22
10/1/2016 11:42,91.1,96.7,22
10/1/2016 11:42,91.1,96.7,22
10/1/2016 11:42,91.1,96.7,22
10/1/2016 11:42,91.1,96.7,22
