Timestamp,Specific Conductance (uS/cm),Temperature (C)
7/11/2017 16:12,360.7,25.2
7/11/2017 16:12,362.6,25.2
7/11/2017 16:12,364.3,25.2
7/11/2017 16:12,365.6,25.2
7/11/2017 16:12,366.7,25.2
7/11/2017 16:12,367.7,25.2
7/11/2017 16:13,368.6,25.2
7/11/2017 16:13,369.3,25.2
7/11/2017 16:13,369.9,25.2
7/11/2017 16:13,370.1,25.2
7/11/2017 16:13,370.3,25.2
7/11/2017 16:13,369.9,25.2
7/11/2017 16:13,369.5,25.2
7/11/2017 16:13,368.8,25.2
7/11/2017 16:13,367.8,25.2
7/11/2017 16:13,366.8,25.2
7/11/2017 16:13,365.7,25.2
7/11/2017 16:13,364.2,25.2
7/11/2017 16:14,362.8,25.2
7/11/2017 16:14,361.1,25.2
7/11/2017 16:14,359.2,25.2
7/11/2017 16:14,357.1,25.2
7/11/2017 16:14,354.9,25.2
7/11/2017 16:14,352.8,25.2
7/11/2017 16:14,350.9,25.2
7/11/2017 16:14,348.6,25.2
7/11/2017 16:14,346.7,25.2
7/11/2017 16:14,344.7,25.2
7/11/2017 16:14,342.9,25.2
7/11/2017 16:14,340.9,25.2
7/11/2017 16:15,338.8,25.2
7/11/2017 16:15,337.3,25.2
7/11/2017 16:15,335.5,25.2
7/11/2017 16:15,333.9,25.2
7/11/2017 16:15,332.1,25.2
7/11/2017 16:15,330.3,25.2
7/11/2017 16:15,328.3,25.2
7/11/2017 16:15,326.5,25.2
7/11/2017 16:15,324.9,25.2
7/11/2017 16:15,323.3,25.2
7/11/2017 16:15,321.8,25.2
7/11/2017 16:15,320.6,25.2
7/11/2017 16:16,319.1,25.2
7/11/2017 16:16,317.7,25.2
7/11/2017 16:16,316.3,25.2
7/11/2017 16:16,314.9,25.2
7/11/2017 16:16,313.3,25.2
7/11/2017 16:16,311.9,25.2
7/11/2017 16:16,310.4,25.2
7/11/2017 16:16,309.1,25.2
7/11/2017 16:16,307.5,25.2
7/11/2017 16:16,306.1,25.2
7/11/2017 16:16,304.7,25.2
7/11/2017 16:16,303.3,25.2
7/11/2017 16:17,301.9,25.2
7/11/2017 16:17,300.6,25.2
7/11/2017 16:17,299.2,25.2
7/11/2017 16:17,297.7,25.2
7/11/2017 16:17,296.1,25.2
7/11/2017 16:17,294.7,25.2
7/11/2017 16:17,293.3,25.2
7/11/2017 16:17,291.9,25.2
7/11/2017 16:17,290.4,25.2
7/11/2017 16:17,289.1,25.2
7/11/2017 16:17,288,25.2
7/11/2017 16:17,286.9,25.2
7/11/2017 16:18,285.6,25.2
7/11/2017 16:18,284.2,25.2
7/11/2017 16:18,282.8,25.2
7/11/2017 16:18,281.4,25.2
7/11/2017 16:18,280.2,25.2
7/11/2017 16:18,279.2,25.2
7/11/2017 16:18,277.9,25.2
