"Timestamp","Conductivity (uS/cm)","Specific Conductance (uS/cm)","Temperature (C)","Comment","Site","Folder","Unit ID"
"10/15/2016 11:42:19","125.4","132.9","22.1","","LYON","LYON","STD"
"10/15/2016 11:42:21","125.4","132.9","22.1","","LYON","LYON","STD"
"10/15/2016 11:42:22","125.4","132.9","22.1","","LYON","LYON","STD"
"10/15/2016 11:42:23","125.4","132.9","22.1","","LYON","LYON","STD"
"10/15/2016 11:42:24","125.4","132.9","22.1","","LYON","LYON","STD"
"10/15/2016 11:42:25","125.4","132.9","22.1","","LYON","LYON","STD"
"10/15/2016 11:42:26","125.4","132.9","22.1","","LYON","LYON","STD"
"10/15/2016 11:42:27","125.4","132.9","22.1","","LYON","LYON","STD"
"10/15/2016 11:42:28","125.4","132.9","22.1","","LYON","LYON","STD"
"10/15/2016 11:42:29","125.4","132.9","22.1","","LYON","LYON","STD"
"10/15/2016 11:42:30","125.4","132.9","22.1","","LYON","LYON","STD"
"10/15/2016 11:42:31","125.4","132.9","22.1","","LYON","LYON","STD"
"10/15/2016 11:42:32","125.4","132.9","22.1","","LYON","LYON","STD"
"10/15/2016 11:42:33","125.4","132.9","22.1","","LYON","LYON","STD"
"10/15/2016 11:42:34","125.4","132.9","22.1","","LYON","LYON","STD"
"10/15/2016 11:42:35","125.4","132.9","22.1","","LYON","LYON","STD"
"10/15/2016 11:42:36","125.4","132.9","22.1","","LYON","LYON","STD"
"10/15/2016 11:42:37","125.4","132.9","22.1","","LYON","LYON","STD"
"10/15/2016 11:42:38","125.4","132.9","22.1","","LYON","LYON","STD"
"10/15/2016 11:42:39","125.4","132.9","22.1","","LYON","LYON","STD"
"10/15/2016 11:42:40","125.4","132.9","22.1","","LYON","LYON","STD"
"10/15/2016 11:42:41","125.4","132.9","22.1","","LYON","LYON","STD"
"10/15/2016 11:42:42","125.4","132.9","22.1","","LYON","LYON","STD"
"10/15/2016 11:42:43","125.4","132.9","22.1","","LYON","LYON","STD"
"10/15/2016 11:42:44","125.4","132.9","22.1","","LYON","LYON","STD"
"10/15/2016 11:42:45","125.4","132.9","22.1","","LYON","LYON","STD"
"10/15/2016 11:42:46","125.4","132.9","22.1","","LYON","LYON","STD"
"10/15/2016 11:42:47","125.4","132.9","22.1","","LYON","LYON","STD"
