"Timestamp","Conductivity (uS/cm)","Specific Conductance (uS/cm)","Temperature (C)","Comment","Site","Folder","Unit ID"
"11/5/2016 10:00:04","120.7","129.7","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:06","120.7","129.7","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:07","120.7","129.7","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:08","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:09","120.7","129.7","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:10","120.7","129.7","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:11","120.7","129.7","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:12","120.7","129.7","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:13","120.7","129.7","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:14","120.7","129.7","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:15","120.7","129.7","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:16","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:17","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:18","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:19","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:20","120.7","129.7","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:21","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:22","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:23","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:24","120.7","129.7","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:25","120.7","129.7","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:26","120.7","129.7","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:27","120.7","129.7","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:28","120.7","129.7","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:29","120.7","129.7","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:30","120.7","129.7","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:31","120.7","129.7","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:32","120.7","129.7","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:33","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:34","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:35","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:36","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:37","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:38","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:39","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:40","120.7","129.7","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:41","120.7","129.7","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:43","120.7","129.7","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:44","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:45","120.7","129.7","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:46","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:47","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:48","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:49","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:50","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:51","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:53","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:54","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:55","120.7","129.7","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:56","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:57","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:58","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:00:59","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:01:00","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:01:01","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:01:02","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:01:03","120.7","129.7","21.4","","LYON","LYON","STD"
"11/5/2016 10:01:04","120.7","129.7","21.4","","LYON","LYON","STD"
"11/5/2016 10:01:05","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:01:06","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:01:07","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:01:08","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:01:09","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:01:10","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:01:11","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:01:12","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:01:14","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:01:15","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:01:16","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:01:17","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:01:18","120.7","129.7","21.4","","LYON","LYON","STD"
"11/5/2016 10:01:19","120.7","129.7","21.4","","LYON","LYON","STD"
"11/5/2016 10:01:20","120.7","129.7","21.4","","LYON","LYON","STD"
"11/5/2016 10:01:21","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:01:22","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:01:23","120.7","129.7","21.4","","LYON","LYON","STD"
"11/5/2016 10:01:24","120.7","129.7","21.4","","LYON","LYON","STD"
"11/5/2016 10:01:25","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:01:26","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:01:27","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:01:28","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:01:29","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:01:30","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:01:31","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:01:32","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:01:33","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:01:34","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:01:35","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:01:36","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:01:37","120.7","129.6","21.4","","LYON","LYON","STD"
"11/5/2016 10:01:38","120.7","129.6","21.4","","LYON","LYON","STD"
